US26614N1028,DD
US2605571031,DOW
US6703461052,NUE
US2786421030,EBA
US3696041033,GE
US74144T1088,TROW
US7443201022,PRU
US83088M1027,AWM
US1924461023,CTSH
US89417E1091,TRV
US6937181088,PCAR
DE0006047004,HEI
DE0005785802,FME
DE0007236101,SIE
DE0005552004,DHL
DE0006062144,1COV
DE0008404005,ALV
NL00150001Q9,STLA
US96145D1054,WRK
US3167731005,FITB
US26875P1012,EOG
US6081901042,MHK
US5949181045,MSFT
US4781601046,JNJ
US4370761029,HD
US0028241000,ABT
US67066G1040,NVDA
US00287Y1091,ABBV
US8835561023,TMO
US2358511028,DHR
US0378331005,AAPL
US30303M1027,META
US8825081040,TXN
US8552441094,SBUX
US0846707026,BRK/B
US0079031078,AMD
US1912161007,KO
US17275R1023,CSCO
US91324P1021,UNH
US59156R1086,MET
US8288061091,SPG
US1941621039,CL
US2910111044,EMR
US9311421039,WMT
US7134481081,PEP
US0605051046,BAC
US22160K1051,COST
US9497461015,WFC
US75513E1010,RTX
US7181721090,4I1
